symbol,timestamp,bid_figure,bid_points,offer_figure,offer_points,high,low,open
AUD/JPY,1513229701887,86.,272,86.,279,85.923,86.490,85.940
AUD/JPY,1513230000846,86.,275,86.,282,85.923,86.490,85.940
AUD/JPY,1513230301192,86.,266,86.,275,85.923,86.490,85.940
AUD/JPY,1513230599980,86.,284,86.,293,85.923,86.490,85.940
AUD/JPY,1513230901353,86.,275,86.,282,85.923,86.490,85.940
AUD/JPY,1513231201020,86.,292,86.,302,85.923,86.490,85.940
AUD/JPY,1513231500638,86.,322,86.,330,85.923,86.490,85.940
AUD/JPY,1513231799331,86.,325,86.,332,85.923,86.490,85.940
AUD/JPY,1513232184991,86.,308,86.,317,85.923,86.490,85.940
AUD/JPY,1513232399694,86.,310,86.,317,85.923,86.490,85.940
AUD/JPY,1513232700948,86.,293,86.,302,85.923,86.490,85.940
AUD/JPY,1513233001400,86.,326,86.,335,85.923,86.490,85.940
AUD/JPY,1513233301226,86.,322,86.,330,85.923,86.490,85.940
AUD/JPY,1513233596585,86.,316,86.,323,85.923,86.490,85.940
AUD/JPY,1513233901353,86.,347,86.,356,85.923,86.490,85.940
AUD/JPY,1513234199218,86.,375,86.,383,85.923,86.490,85.940
AUD/JPY,1513234500291,86.,375,86.,380,85.923,86.490,85.940
AUD/JPY,1513234799671,86.,358,86.,368,85.923,86.490,85.940
AUD/JPY,1513235103460,86.,376,86.,385,85.923,86.490,85.940
AUD/JPY,1513235393475,86.,382,86.,389,85.923,86.490,85.940
AUD/JPY,1513235700915,86.,402,86.,410,85.923,86.490,85.940
AUD/JPY,1513235998322,86.,390,86.,398,85.923,86.490,85.940
AUD/JPY,1513236299210,86.,385,86.,391,85.923,86.490,85.940
AUD/JPY,1513236602054,86.,394,86.,401,85.923,86.490,85.940
AUD/JPY,1513236900392,86.,400,86.,409,85.923,86.490,85.940
AUD/JPY,1513237201571,86.,409,86.,418,85.923,86.490,85.940
AUD/JPY,1513237500596,86.,417,86.,425,85.923,86.490,85.940
AUD/JPY,1513237801503,86.,390,86.,398,85.923,86.490,85.940
AUD/JPY,1513238139160,86.,400,86.,407,85.923,86.490,85.940
AUD/JPY,1513238701031,86.,405,86.,413,85.923,86.490,85.940
AUD/JPY,1513239001274,86.,417,86.,425,85.923,86.490,85.940
AUD/JPY,1513239297833,86.,394,86.,404,85.923,86.490,85.940
AUD/JPY,1513239606270,86.,430,86.,439,85.923,86.490,85.940
AUD/JPY,1513239917118,86.,414,86.,422,85.923,86.490,85.940
AUD/JPY,1513240201505,86.,432,86.,440,85.923,86.490,85.940
AUD/JPY,1513240501000,86.,441,86.,451,85.923,86.490,85.940
AUD/JPY,1513240803783,86.,477,86.,485,85.923,86.497,85.940
AUD/JPY,1513241100417,86.,469,86.,479,85.923,86.497,85.940
AUD/JPY,1513241401128,86.,462,86.,472,85.923,86.497,85.940
AUD/JPY,1513241699168,86.,436,86.,445,85.923,86.497,85.940
AUD/JPY,1513242001025,86.,390,86.,400,85.923,86.497,85.940
AUD/JPY,1513242299593,86.,371,86.,380,85.923,86.497,85.940
AUD/JPY,1513242600034,86.,427,86.,436,85.923,86.497,85.940
AUD/JPY,1513242900916,86.,426,86.,434,85.923,86.497,85.940
AUD/JPY,1513243500160,86.,391,86.,401,85.923,86.497,85.940
AUD/JPY,1515442500686,88.,661,88.,669,88.472,89.082,88.981
AUD/JPY,1515442797599,88.,680,88.,689,88.472,89.082,88.981
AUD/JPY,1515443100561,88.,673,88.,681,88.472,89.082,88.981
AUD/JPY,1515443397824,88.,683,88.,689,88.472,89.082,88.981
AUD/JPY,1515443700320,88.,667,88.,675,88.472,89.082,88.981
AUD/JPY,1515443995105,88.,682,88.,689,88.472,89.082,88.981
AUD/JPY,1515444301151,88.,691,88.,698,88.472,89.082,88.981
AUD/JPY,1515444600389,88.,694,88.,702,88.472,89.082,88.981
AUD/JPY,1515444889213,88.,697,88.,704,88.472,89.082,88.981
AUD/JPY,1515445200152,88.,671,88.,680,88.472,89.082,88.981
AUD/JPY,1515445796098,88.,668,88.,675,88.472,89.082,88.981
AUD/JPY,1515446100205,88.,686,88.,692,88.472,89.082,88.981
AUD/JPY,1515446693296,88.,659,88.,668,88.472,89.082,88.981
AUD/JPY,1515447000755,88.,682,88.,690,88.472,89.082,88.981
AUD/JPY,1515447293295,88.,661,88.,669,88.472,89.082,88.981
AUD/JPY,1515447600702,88.,677,88.,687,88.472,89.082,88.981
AUD/JPY,1515449100114,88.,685,88.,755,88.472,89.082,88.981
